i,H,r,Lz,γu,γd,M,energy,error_r,error_a
6,5.0,6.0,65.0,1.0,1.0,7,-0.019974006718613553,3.085060034898483e-8,6.162101176543366e-10
7,5.0,6.0,65.0,1.0,1.0,7,0.04519974735621017,5.072068187770993e-8,2.292561890326894e-9
8,5.0,6.0,65.0,1.0,1.0,7,-0.00907148016678395,1.0156351465218201e-7,9.213315024098057e-10
9,5.0,6.0,65.0,1.0,1.0,7,0.1358243684206036,1.9393242586719147e-8,2.634074874885428e-9
10,5.0,6.0,65.0,1.0,1.0,7,-0.004627774112601544,2.3778723196778337e-7,1.1004258580749049e-9
1,5.0,7.0,75.0,1.0,1.0,7,0.0014420463236083016,2.1744171531601442e-10,3.1356102610236025e-13
2,5.0,7.0,75.0,1.0,1.0,7,0.005579771629188366,4.542775407801832e-10,2.5347649326712407e-12
3,5.0,7.0,75.0,1.0,1.0,7,193.95666162643226,2.0222022118271593e-14,3.922195901395753e-12
4,5.0,7.0,75.0,1.0,1.0,7,-0.007611217316356695,3.090721286537363e-11,2.3524151376852487e-13
5,5.0,7.0,75.0,1.0,1.0,7,0.3472454567262476,1.1421139173428679e-11,3.965938688565984e-12
6,5.0,7.0,75.0,1.0,1.0,7,-0.01997400733342676,6.993640994231263e-11,1.3969103651589876e-12
7,5.0,7.0,75.0,1.0,1.0,7,0.04519974506761487,8.775693179258807e-11,3.9665909445929515e-12
8,5.0,7.0,75.0,1.0,1.0,7,-0.009071481086543718,1.7326101957083758e-10,1.5717340623444542e-12
9,5.0,7.0,75.0,1.0,1.0,7,0.13582436578970278,2.3368740522337724e-11,3.1740443606764757e-12
10,5.0,7.0,75.0,1.0,1.0,7,-0.004627775211793712,2.6658387162614004e-10,1.2336902333043298e-12
1,5.0,8.0,85.0,1.0,1.0,7,0.001442046320641785,1.8397158977223248e-9,2.6529555462173615e-12
2,5.0,8.0,85.0,1.0,1.0,7,0.005579771625509304,2.050795995011554e-10,1.144297330502031e-12
3,5.0,8.0,85.0,1.0,1.0,7,193.9566616264273,5.421846509971369e-15,1.0516032489249483e-12
4,5.0,8.0,85.0,1.0,1.0,7,-0.007611217318388407,2.3602927311328776e-10,1.7964700907424636e-12
