H,γu,γd,i,energy_exact
0.5,0.0,0.0,8,-0.02880376727023115
0.1,0.0,0.0,8,-0.02892524502200422
10.0,0.3,0.3,9,0.016170430133549046
10.0,0.5,0.5,9,0.029598894773083098
10.0,0.6,0.6,9,0.036313171086729296
10.0,0.6,-0.6,9,0.036231006174964
10.0,-0.6,-0.6,9,-0.044256259158587344
10.0,0.95,0.95,9,0.059813373480195386
10.0,0.95,-0.95,9,0.05968229985460216
10.0,-0.95,-0.95,9,-0.06775493463679608
10.0,1.0,1.0,9,0.0631705755522609
10.0,1.0,-1.0,9,0.06303245438773193
10.0,-1.0,-1.0,9,-0.07111186228571924
5.0,0.3,0.3,9,0.029781881660443377
5.0,0.5,0.5,9,0.060049042117059054
5.0,0.6,0.6,9,0.07519141317350679
5.0,0.6,-0.6,9,0.07326530848950703
5.0,-0.6,-0.6,9,-0.10617043660561322
5.0,0.95,0.95,9,0.12823941630415137
5.0,0.95,-0.95,9,0.12499425937956317
5.0,-0.95,-0.95,9,-0.1589513710180011
5.0,1.0,1.0,9,0.13582436578652873
5.0,1.0,-1.0,9,0.13237776427102935
5.0,-1.0,-1.0,9,-0.16648826523458077
1.0,0.3,0.3,9,0.24468877893611748
1.0,0.5,0.5,9,0.4281823893723922
1.0,0.6,0.6,9,0.522649527257976
1.0,0.6,-0.6,9,0.43214640211422717
1.0,-0.6,-0.6,9,-0.5321163645700673
1.0,0.95,0.95,9,0.8760432283026427
1.0,0.95,-0.95,9,0.6841135175771186
1.0,-0.95,-0.95,9,-0.8242433320203743
1.0,1.0,1.0,9,0.9308433993859965
1.0,1.0,-1.0,9,0.7195673944285188
1.0,-1.0,-1.0,9,-0.865855805734712
0.5,0.3,0.3,9,0.5264843787597613
0.5,0.5,0.5,9,0.9122900268250008
0.5,0.6,0.6,9,1.1151238962524657
0.5,0.6,-0.6,9,0.8752556646182434
0.5,-0.6,-0.6,9,-1.0596104848025765
0.5,0.95,0.95,9,1.9359728350066028
0.5,0.95,-0.95,9,1.3696512282955753
0.5,-0.95,-0.95,9,-1.649734665029195
0.5,1.0,1.0,9,2.082322365035581
0.5,1.0,-1.0,9,1.4393163540292155
0.5,-1.0,-1.0,9,-1.7338439570090265
0.1,0.3,0.3,9,2.7877765598224165
0.1,0.5,0.5,9,4.80800531266954
0.1,0.6,0.6,9,5.8980118308341405
0.1,0.6,-0.6,9,4.416705759905601
0.1,-0.6,-0.6,9,-5.277458085014895
0.1,0.95,0.95,9,11.214701530744021
0.1,0.95,-0.95,9,6.852682082021835
0.1,-0.95,-0.95,9,-8.248843292571962
0.1,1.0,1.0,9,12.973111818811438
0.1,1.0,-1.0,9,7.196582372722012
0.1,-1.0,-1.0,9,-8.672631560736383
10.0,0.0,0.0,9,-0.0039720506605854106
5.0,0.0,0.0,9,-0.015577976937836066
1.0,0.0,0.0,9,-0.02089948259740325
0.5,0.0,0.0,9,-0.021090022468589445
0.1,0.0,0.0,9,-0.021151386037380787
10.0,0.3,0.3,10,-0.010950665417308866
