H,s,Lz,γu,γd,M,energy,error_r
1.0,5.0,91.0,1.0,1.0,9,45.7757852110187,0.0005518874705246647
1.0,5.0,91.0,1.0,1.0,10,45.78755343625938,0.0002949452804475488
1.0,5.0,91.0,1.0,1.0,11,45.793930167224026,0.0001557185758187851
1.0,5.0,91.0,1.0,1.0,12,45.797243672287976,8.337298159783334e-5
1.0,5.0,91.0,1.0,1.0,13,45.799042795202666,4.409173294188002e-5
1.0,5.0,91.0,1.0,1.0,14,45.799979836005804,2.363280126563591e-5
1.0,5.0,91.0,1.0,1.0,15,45.80048924347355,1.2510625429655565e-5
1.0,5.0,91.0,1.0,1.0,16,45.800754920847446,6.709943941432928e-6
1.0,5.0,91.0,1.0,1.0,17,45.800899458372065,3.554175984544858e-6
1.0,5.0,91.0,1.0,1.0,18,45.80097490160949,1.906981929809194e-6
1.0,5.0,91.0,1.0,1.0,19,45.80101596329445,1.01045938333796e-6
1.0,5.0,91.0,1.0,1.0,20,45.80103740625193,5.422833971880589e-7
1.0,5.0,91.0,1.0,1.0,21,45.801049080113074,2.874015107533869e-7
1.0,5.0,91.0,1.0,1.0,22,45.80105517809686,1.5426084792175286e-7
1.0,5.0,91.0,1.0,1.0,23,45.80105849844397,8.176586747178398e-8
1.0,5.0,91.0,1.0,1.0,24,45.80106023316111,4.38908258686759e-8
1.0,5.0,91.0,1.0,1.0,25,45.80106117780149,2.3265968334302696e-8
1.0,5.0,91.0,1.0,1.0,26,45.80106167137939,1.2489408380289462e-8
1.0,5.0,91.0,1.0,1.0,27,45.80106194016713,6.620816454764281e-9
1.0,5.0,91.0,1.0,1.0,28,45.80106208062473,3.554127731279524e-9
1.0,5.0,91.0,1.0,1.0,29,45.80106215711093,1.88416220190534e-9
1.0,5.0,91.0,1.0,1.0,30,45.801062197081016,1.0114730653953567e-9
1.0,5.0,91.0,1.0,1.0,31,45.80106221884961,5.361873144575801e-10
1.0,5.0,91.0,1.0,1.0,32,45.80106223022927,2.877288486483718e-10
1.0,5.0,91.0,1.0,1.0,33,45.80106223642004,1.5256239820146813e-10
1.0,5.0,91.0,1.0,1.0,34,45.801062239661654,8.178638135768318e-11
1.0,5.0,91.0,1.0,1.0,35,45.8010622414254,4.327756476152713e-11
1.0,5.0,91.0,1.0,1.0,36,45.801062242342034,2.3264149976605756e-11
1.0,5.0,91.0,1.0,1.0,37,45.80106224284821,1.221251909060731e-11
1.0,5.0,91.0,1.0,1.0,38,45.801062243106934,6.563680214993517e-12
1.0,5.0,91.0,1.0,1.0,39,45.801062243249156,3.4584632828204515e-12
1.0,5.0,91.0,1.0,1.0,40,45.801062243323784,1.8290621318105737e-12
1.0,5.0,91.0,1.0,1.0,41,45.801062243369785,8.247068950555564e-13
1.0,5.0,91.0,1.0,1.0,42,45.80106224339117,3.577453160267331e-13
1.0,5.0,91.0,1.0,1.0,43,45.80106224339869,1.9361064804915997e-13
1.0,5.0,91.0,1.0,1.0,44,45.80106224340583,3.76982271441874e-14
1.0,5.0,91.0,1.0,1.0,45,45.80106224341064,6.732934395299314e-14
1.0,5.0,91.0,1.0,1.0,46,45.801062243419594,2.6280163284877966e-13
1.0,5.0,91.0,1.0,1.0,47,45.80106224342622,4.07544208673993e-13
1.0,5.0,91.0,1.0,1.0,48,45.80106224343355,5.674901847466565e-13
1.0,5.0,91.0,1.0,1.0,49,45.801062243455334,1.0431394210597369e-12
1.0,5.0,91.0,1.0,1.0,50,45.80106224349938,2.0048320550795627e-12
